what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1367309430793
arch,sysinfo,,,"x86",1367309430793
ws,sysinfo,,,"gtk",1367309430793
locale,sysinfo,,,"en_US",1367309430793
processors,sysinfo,,,"2",1367309430793
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1367309430793
java.runtime.version,sysinfo,,,"1.7.0_15-b20",1367309430793
java.specification.name,sysinfo,,,"Java Platform API Specification",1367309430793
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367309430793
java.specification.version,sysinfo,,,"1.7",1367309430793
java.vendor,sysinfo,,,"Oracle Corporation",1367309430793
java.version,sysinfo,,,"1.7.0_15",1367309430793
java.vm.info,sysinfo,,,"mixed mode, sharing",1367309430793
java.vm.name,sysinfo,,,"OpenJDK Client VM",1367309430793
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367309430793
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367309430793
java.vm.specification.version,sysinfo,,,"1.7",1367309430793
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367309430793
java.vm.version,sysinfo,,,"23.7-b01",1367309430793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309440241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309442209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309451516
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1367309456840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309456855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309463074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309475671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309479749
error,log,,,"Unable to find Action Set: net.sf.eclipsetidy.ActionSet",1367309529293
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1367309529351
activated,perspective,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPPerspective",1367309529378
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1367309529382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309529507
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1367309531849
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1367309535542
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1367309535545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309542394
started,bundle,net.sourceforge.phpeclipse.webbrowser,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.webbrowser",1367309549066
started,bundle,net.sourceforge.phpeclipse.ui,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.ui",1367309549202
started,bundle,net.sourceforge.phpeclipse.xml.ui,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.xml.ui",1367309549208
opened,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1367309549677
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1367309549748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309549842
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1367309558339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309568422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309632287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309632287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309632296
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1367309670709
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1367309674952
activated,perspective,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPPerspective",1367309677768
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1367309697339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309701138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309703701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309703701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309703711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309718551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309822260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309856949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309866124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367309866124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309866148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367309873433
